burst, dur=1, thsld=10, words=せせせ, TP: 42, FP: 1708, TN: NaN, FN: 37
burst, dur=2, thsld=30, words=せせせ, TP: 0, FP: 1, TN: NaN, FN: 78
burst, dur=5, thsld=20, words=せせせ, TP: 39, FP: 4242, TN: NaN, FN: 40
burst, dur=8, thsld=10, words=せせせ, TP: 20, FP: 7783, TN: NaN, FN: 58
burst, dur=3, thsld=30, words=せせせ, TP: 22, FP: 344, TN: NaN, FN: 56
burst, dur=2, thsld=10, words=せせせ, TP: 41, FP: 4819, TN: NaN, FN: 38
burst, dur=6, thsld=20, words=せせせ, TP: 39, FP: 4785, TN: NaN, FN: 40
burst, dur=9, thsld=10, words=せせせ, TP: 20, FP: 7709, TN: NaN, FN: 58
burst, dur=4, thsld=30, words=せせせ, TP: 37, FP: 1139, TN: NaN, FN: 41
burst, dur=3, thsld=10, words=せせせ, TP: 37, FP: 6378, TN: NaN, FN: 42
burst, dur=10, thsld=10, words=せせせ, TP: 17, FP: 7655, TN: NaN, FN: 61
burst, dur=7, thsld=20, words=せせせ, TP: 37, FP: 5243, TN: NaN, FN: 42
burst, dur=5, thsld=30, words=せせせ, TP: 38, FP: 1875, TN: NaN, FN: 41
burst, dur=4, thsld=10, words=せせせ, TP: 35, FP: 7189, TN: NaN, FN: 44
burst, dur=8, thsld=20, words=せせせ, TP: 37, FP: 5550, TN: NaN, FN: 42
burst, dur=1, thsld=20, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=6, thsld=30, words=せせせ, TP: 39, FP: 2519, TN: NaN, FN: 40
burst, dur=5, thsld=10, words=せせせ, TP: 27, FP: 7611, TN: NaN, FN: 52
burst, dur=9, thsld=20, words=せせせ, TP: 36, FP: 5802, TN: NaN, FN: 43
burst, dur=2, thsld=20, words=せせせ, TP: 30, FP: 814, TN: NaN, FN: 48
burst, dur=7, thsld=30, words=せせせ, TP: 39, FP: 3016, TN: NaN, FN: 40
burst, dur=6, thsld=10, words=せせせ, TP: 25, FP: 7740, TN: NaN, FN: 54
burst, dur=10, thsld=20, words=せせせ, TP: 32, FP: 6025, TN: NaN, FN: 47
burst, dur=3, thsld=20, words=せせせ, TP: 42, FP: 2204, TN: NaN, FN: 37
burst, dur=8, thsld=30, words=せせせ, TP: 37, FP: 3409, TN: NaN, FN: 42
burst, dur=1, thsld=30, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=7, thsld=10, words=せせせ, TP: 21, FP: 7787, TN: NaN, FN: 57
burst, dur=4, thsld=20, words=せせせ, TP: 38, FP: 3390, TN: NaN, FN: 41
burst, dur=9, thsld=30, words=せせせ, TP: 37, FP: 3728, TN: NaN, FN: 42
burst, dur=6, thsld=40, words=せせせ, TP: 33, FP: 1073, TN: NaN, FN: 45
burst, dur=3, thsld=50, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=10, thsld=50, words=せせせ, TP: 39, FP: 1410, TN: NaN, FN: 40
burst, dur=10, thsld=30, words=せせせ, TP: 37, FP: 3997, TN: NaN, FN: 42
burst, dur=4, thsld=50, words=せせせ, TP: 1, FP: 6, TN: NaN, FN: 77
burst, dur=7, thsld=40, words=せせせ, TP: 40, FP: 1483, TN: NaN, FN: 39
burst, dur=1, thsld=60, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=1, thsld=40, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=8, thsld=40, words=せせせ, TP: 42, FP: 1860, TN: NaN, FN: 37
burst, dur=5, thsld=50, words=せせせ, TP: 7, FP: 101, TN: NaN, FN: 71
burst, dur=2, thsld=60, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=2, thsld=40, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=9, thsld=40, words=せせせ, TP: 36, FP: 2200, TN: NaN, FN: 43
burst, dur=6, thsld=50, words=せせせ, TP: 24, FP: 322, TN: NaN, FN: 54
burst, dur=3, thsld=60, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=3, thsld=40, words=せせせ, TP: 0, FP: 6, TN: NaN, FN: 78
burst, dur=10, thsld=40, words=せせせ, TP: 37, FP: 2460, TN: NaN, FN: 42
burst, dur=7, thsld=50, words=せせせ, TP: 29, FP: 621, TN: NaN, FN: 49
burst, dur=4, thsld=60, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=4, thsld=40, words=せせせ, TP: 12, FP: 186, TN: NaN, FN: 66
burst, dur=1, thsld=50, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=8, thsld=50, words=せせせ, TP: 34, FP: 909, TN: NaN, FN: 45
burst, dur=5, thsld=60, words=せせせ, TP: 1, FP: 3, TN: NaN, FN: 77
burst, dur=5, thsld=40, words=せせせ, TP: 31, FP: 643, TN: NaN, FN: 47
burst, dur=2, thsld=50, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=9, thsld=50, words=せせせ, TP: 37, FP: 1163, TN: NaN, FN: 42
burst, dur=6, thsld=60, words=せせせ, TP: 2, FP: 46, TN: NaN, FN: 76
burst, dur=7, thsld=60, words=せせせ, TP: 14, FP: 172, TN: NaN, FN: 64
burst, dur=1, thsld=80, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=4, thsld=70, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=8, thsld=80, words=せせせ, TP: 1, FP: 14, TN: NaN, FN: 77
burst, dur=2, thsld=80, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=8, thsld=60, words=せせせ, TP: 23, FP: 328, TN: NaN, FN: 55
burst, dur=5, thsld=70, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=9, thsld=80, words=せせせ, TP: 4, FP: 47, TN: NaN, FN: 74
burst, dur=3, thsld=80, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=9, thsld=60, words=せせせ, TP: 26, FP: 530, TN: NaN, FN: 52
burst, dur=6, thsld=70, words=せせせ, TP: 0, FP: 5, TN: NaN, FN: 78
burst, dur=10, thsld=80, words=せせせ, TP: 9, FP: 87, TN: NaN, FN: 69
burst, dur=10, thsld=60, words=せせせ, TP: 28, FP: 712, TN: NaN, FN: 50
burst, dur=7, thsld=70, words=せせせ, TP: 1, FP: 21, TN: NaN, FN: 77
